,gene_id,gene_name
0,Xelaev18000001m.g,Xelaev18000001m.g
6,Xelaev18000002m.g,Xelaev18000002m.g
10,Xelaev18000003m.g,Xelaev18000003m.g
20,Xelaev18000004m.g,Xelaev18000004m.g
26,Xelaev18000005m.g,Xelaev18000005m.g
34,Xelaev18000006m.g,tm6sf2.1
39,Xelaev18000007m.g,Xelaev18000007m.g
41,Xelaev18000008m.g,bpi.S
71,Xelaev18000009m.g,Xetrov90025348m.S
72,Xelaev18000010m.g,Xelaev18000010m.g
79,Xelaev18000011m.g,Xelaev18000011m.g
81,Xelaev18000012m.g,LOC101731737.1.S
84,Xelaev18000013m.g,Xelaev18000013m.g
86,Xelaev18000014m.g,Xelaev18000014m.g
88,Xelaev18000015m.g,Xelaev18000015m.g
98,Xelaev18000016m.g,Xelaev18000016m.g
99,Xelaev18000017m.g,LOC101730510.1
100,Xelaev18000018m.g,Xelaev18000018m.g
101,Xelaev18000019m.g,arhgap28.S
131,Xelaev18000020m.g,Xelaev18000020m.g
133,Xelaev18000021m.g,tmem200c.S
136,Xelaev18000023m.g,Xelaev18000023m.g
137,Xelaev18000024m.g,Xelaev18000024m.g
140,Xelaev18000025m.g,Xelaev18000025m.g
142,Xelaev18000026m.g,Xelaev18000026m.g
148,Xelaev18000027m.g,bcap31.L
163,Xelaev18000028m.g,Xelaev18000028m.g
183,Xelaev18000029m.g,plxnb3.L
224,Xelaev18000030m.g,smc1a.L
272,Xelaev18000031m.g,wnt7c.L
281,Xelaev18000032m.g,hsd17b10.L
293,Xelaev18000033m.g,syp.L
302,Xelaev18000034m.g,gpkow.L
321,Xelaev18000035m.g,plp2.L
329,Xelaev18000036m.g,prickle3.L
339,Xelaev18000037m.g,Xelaev18000037m.g
343,Xelaev18000038m.g,klhl7.S
363,Xelaev18000039m.g,igf2bp3.S
393,Xelaev18000040m.g,Xelaev18000040m.g
395,Xelaev18000041m.g,Xelaev18000041m.g
399,Xelaev18000042m.g,tra2a.S
415,Xelaev18000044m.g,Xelaev18000044m.g
416,Xelaev18000045m.g,Xelaev18000045m.g
419,Xelaev18000046m.g,antxrl.L
430,Xelaev18000047m.g,Xelaev18000047m.g
432,Xelaev18000048m.g,Xelaev18000048m.g
434,Xelaev18000049m.g,Xelaev18000049m.g
435,Xelaev18000050m.g,loc100491805.L
438,Xelaev18000052m.g,pga4.L
456,Xelaev18000053m.g,tmem132a.L
479,Xelaev18000054m.g,prpf19.L
511,Xelaev18000056m.g,stx3.L
532,Xelaev18000057m.g,Xelaev18000057m.g
534,Xelaev18000058m.g,Xelaev18000058m.g
538,Xelaev18000059m.g,tmem82.S
539,Xelaev18000061m.g,hinfp.S
557,Xelaev18000062m.g,abcg4.S
586,Xelaev18000063m.g,pdzd3.S
606,Xelaev18000064m.g,cbl.S
639,Xelaev18000065m.g,mcam.S
675,Xelaev18000066m.g,Xelaev18000066m.g
677,Xelaev18000067m.g,Xelaev18000067m.g
679,Xelaev18000068m.g,Xelaev18000068m.g
680,Xelaev18000069m.g,Xelaev18000069m.g
682,Xelaev18000070m.g,Xelaev18000070m.g
683,Xelaev18000071m.g,Xelaev18000071m.g
699,Xelaev18000072m.g,Xelaev18000072m.g
701,Xelaev18000073m.g,Xelaev18000073m.g
702,Xelaev18000074m.g,LOC101730344.1.L
703,Xelaev18000075m.g,Xelaev18000075m.g
704,Xelaev18000076m.g,Xetrov90029155m.L
706,Xelaev18000077m.g,Xetrov90029153m.L
708,Xelaev18000078m.g,Xelaev18000078m.g
709,Xelaev18000079m.g,LOC100489228.1.L
711,Xelaev18000080m.g,LOC100488285.1.L
713,Xelaev18000081m.g,LOC100497299.1.L
715,Xelaev18000082m.g,Xelaev18000082m.g
717,Xelaev18000083m.g,Xelaev18000083m.g
722,Xelaev18000084m.g,Xelaev18000084m.g
723,Xelaev18000085m.g,Xelaev18000085m.g
724,Xelaev18000086m.g,LOC443731
728,Xelaev18000087m.g,Xetrov90024636m.1
742,Xelaev18000088m.g,Xelaev18000088m.g
743,Xelaev18000089m.g,Xelaev18000089m.g
745,Xelaev18000090m.g,gkap1.L
768,Xelaev18000092m.g,mrps18c.L
780,Xelaev18000093m.g,LOC100492437.L
809,Xelaev18000094m.g,MGC147600.1.L
843,Xelaev18000095m.g,Xelaev18000095m.g
845,Xelaev18000096m.g,Xelaev18000096m.g
846,Xelaev18000097m.g,Xelaev18000097m.g
854,Xelaev18000098m.g,LOC100497949.1.L
857,Xelaev18000099m.g,Xelaev18000099m.g
858,Xelaev18000100m.g,stx7.L
866,Xelaev18000101m.g,taar2.L
867,Xelaev18000102m.g,LOC100487949.1.L
868,Xelaev18000103m.g,taar1.L
870,Xelaev18000104m.g,vnn2.L
884,Xelaev18000105m.g,vnn1.L
891,Xelaev18000106m.g,slc18b1.L
898,Xelaev18000107m.g,Xelaev18000107m.g
904,Xelaev18000108m.g,Xelaev18000108m.g
905,Xelaev18000109m.g,Xelaev18000109m.g
907,Xelaev18000110m.g,pnrc2.L
911,Xelaev18000111m.g,Xetrov90004873m.L
913,Xelaev18000112m.g,srsf10.L
925,Xelaev18000113m.g,loc100145027.L
933,Xelaev18000114m.g,myom3.L
1005,Xelaev18000115m.g,il22ra1.L
1019,Xelaev18000116m.g,ifnlr1.L
1035,Xelaev18000117m.g,Xelaev18000117m.g
1059,Xelaev18000118m.g,Xelaev18000118m.g
1061,Xelaev18000119m.g,Xelaev18000119m.g
1063,Xelaev18000121m.g,gab1.L
1073,Xelaev18000122m.g,smarca5.L
1121,Xelaev18000123m.g,Xelaev18000123m.g
1125,Xelaev18000124m.g,frem3.L
1173,Xelaev18000125m.g,Xelaev18000125m.g
1181,Xelaev18000126m.g,Xelaev18000126m.g
1185,Xelaev18000127m.g,Xelaev18000127m.g
1187,Xelaev18000128m.g,Xelaev18000128m.g
1189,Xelaev18000129m.g,taf10.L
1193,Xelaev18000130m.g,Xelaev18000130m.g
1194,Xelaev18000131m.g,Xelaev18000131m.g
1195,Xelaev18000132m.g,tnks.L
1211,Xelaev18000133m.g,Xetrov90002011m.L
1217,Xelaev18000134m.g,ppp1r3b.L
1222,Xelaev18000135m.g,Xelaev18000135m.g
1224,Xelaev18000136m.g,eri1.L
1238,Xelaev18000137m.g,Xelaev18000137m.g
1241,Xelaev18000138m.g,ubap2.L
1299,Xelaev18000139m.g,dcaf12.L
1317,Xelaev18000140m.g,ube2r2.L
1327,Xelaev18000141m.g,Xelaev18000141m.g
1330,Xelaev18000142m.g,nol6.L
1356,Xelaev18000143m.g,Xelaev18000143m.g
1357,Xelaev18000144m.g,foxj2.1.L
1358,Xelaev18000145m.g,Xelaev18000145m.g
1359,Xelaev18000146m.g,Xelaev18000146m.g
1360,Xelaev18000147m.g,Xelaev18000147m.g
1361,Xelaev18000148m.g,Xelaev18000148m.g
1373,Xelaev18000149m.g,LOC101733340.1.L
1381,Xelaev18000150m.g,Xelaev18000150m.g
1389,Xelaev18000151m.g,Xelaev18000151m.g
1391,Xelaev18000152m.g,Xelaev18000152m.g
1399,Xelaev18000153m.g,LOC100488116.L
1400,Xelaev18000154m.g,Xetrov90022737m.L
1403,Xelaev18000155m.g,LOC101734519.1.L
1413,Xelaev18000156m.g,Xelaev18000156m.g
1424,Xelaev18000157m.g,Xelaev18000157m.g
1430,Xelaev18000158m.g,Xelaev18000158m.g
1438,Xelaev18000159m.g,Xelaev18000159m.g
1440,Xelaev18000160m.g,Xelaev18000160m.g
1442,Xelaev18000162m.g,Xelaev18000162m.g
1445,Xelaev18000163m.g,Xetrov90001268m.1
1446,Xelaev18000164m.g,Xelaev18000164m.g
1452,Xelaev18000165m.g,Xelaev18000165m.g
1455,Xelaev18000166m.g,Xelaev18000166m.g
1462,Xelaev18000167m.g,Xetrov90018366m.1
1463,Xelaev18000168m.g,Xetrov90030434m.1
1469,Xelaev18000169m.g,LOC100489607.1
1473,Xelaev18000170m.g,Xelaev18000170m.g
1477,Xelaev18000171m.g,Xelaev18000171m.g
1478,Xelaev18000172m.g,Xelaev18000172m.g
1479,Xelaev18000173m.g,Xelaev18000173m.g
1483,Xelaev18000174m.g,irx5.L
1489,Xelaev18000175m.g,Xelaev18000175m.g
1491,Xelaev18000176m.g,Xelaev18000176m.g
1492,Xelaev18000178m.g,Xelaev18000178m.g
1493,Xelaev18000179m.g,Xelaev18000179m.g
1495,Xelaev18000180m.g,Xetrov90000066m.1
1497,Xelaev18000181m.g,cep295.S
1554,Xelaev18000182m.g,smco4.S
1556,Xelaev18000183m.g,Xelaev18000183m.g
1562,Xelaev18000184m.g,Xetrov90016023m.1
1564,Xelaev18000185m.g,Xelaev18000185m.g
1565,Xelaev18000186m.g,LOC100489151.1.S
1566,Xelaev18000187m.g,amigo2.S
1568,Xelaev18000188m.g,Xelaev18000188m.g
1570,Xelaev18000189m.g,LOC100487429.1.L
1572,Xelaev18000190m.g,Xelaev18000190m.g
1573,Xelaev18000191m.g,tmed10.L
1583,Xelaev18000192m.g,Xelaev18000192m.g
1585,Xelaev18000193m.g,Xetrov90011021m.L
1607,Xelaev18000194m.g,ctsw.L
1629,Xelaev18000195m.g,athl1.L
1657,Xelaev18000196m.g,LOC100496433.1.L
1684,Xelaev18000197m.g,Xelaev18000197m.g
1685,Xelaev18000198m.g,Xelaev18000198m.g
1687,Xelaev18000199m.g,ier5l.L
1689,Xelaev18000200m.g,Xelaev18000200m.g
1690,Xelaev18000201m.g,Xelaev18000201m.g
1691,Xelaev18000202m.g,Xelaev18000202m.g
1693,Xelaev18000203m.g,Xelaev18000203m.g
1694,Xelaev18000204m.g,Xelaev18000204m.g
1695,Xelaev18000205m.g,Xelaev18000205m.g
1704,Xelaev18000206m.g,Xelaev18000206m.g
1708,Xelaev18000207m.g,LOC101730584
1716,Xelaev18000208m.g,Xelaev18000208m.g
1719,Xelaev18000209m.g,Xelaev18000209m.g
1727,Xelaev18000210m.g,Xelaev18000210m.g
1734,Xelaev18000211m.g,Xelaev18000211m.g
1736,Xelaev18000212m.g,Xelaev18000212m.g
1737,Xelaev18000213m.g,LOC101731245.1.S
1738,Xelaev18000214m.g,Xelaev18000214m.g
1739,Xelaev18000215m.g,LOC101732657.1.S
1741,Xelaev18000216m.g,Xelaev18000216m.g
1742,Xelaev18000217m.g,Xelaev18000217m.g
1744,Xelaev18000218m.g,Xelaev18000218m.g
1745,Xelaev18000219m.g,ccar1.L
1794,Xelaev18000220m.g,stox1.L
1802,Xelaev18000221m.g,ddx21.L
1834,Xelaev18000222m.g,Xelaev18000222m.g
1844,Xelaev18000223m.g,Xelaev18000223m.g
1846,Xelaev18000224m.g,Xetrov90028744m.1
1848,Xelaev18000225m.g,Xelaev18000225m.g
1850,Xelaev18000226m.g,Xelaev18000226m.g
1852,Xelaev18000227m.g,Xelaev18000227m.g
1853,Xelaev18000229m.g,Xelaev18000229m.g
1868,Xelaev18000230m.g,Xelaev18000230m.g
1869,Xelaev18000231m.g,Xelaev18000231m.g
1870,Xelaev18000232m.g,Xelaev18000232m.g
1871,Xelaev18000233m.g,Xelaev18000233m.g
1872,Xelaev18000234m.g,Xelaev18000234m.g
1873,Xelaev18000235m.g,prss23.L
1874,Xelaev18000236m.g,Xelaev18000236m.g
1876,Xelaev18000237m.g,Xelaev18000237m.g
1882,Xelaev18000238m.g,LOC101733813.1
1888,Xelaev18000239m.g,Xelaev18000239m.g
1889,Xelaev18000240m.g,Xelaev18000240m.g
1890,Xelaev18000241m.g,LOC101732790.S
1891,Xelaev18000243m.g,LOC100498639.S
1892,Xelaev18000244m.g,Xelaev18000244m.g
1893,Xelaev18000245m.g,Xelaev18000245m.g
1894,Xelaev18000246m.g,Xelaev18000246m.g
1895,Xelaev18000247m.g,LOC100498166.S
1896,Xelaev18000248m.g,Xelaev18000248m.g
1898,Xelaev18000249m.g,LOC101734276.S
1901,Xelaev18000250m.g,Xetrov90021463m.1
1903,Xelaev18000251m.g,Xelaev18000251m.g
1905,Xelaev18000252m.g,Xelaev18000252m.g
1907,Xelaev18000253m.g,Xelaev18000253m.g
1909,Xelaev18000254m.g,Xelaev18000254m.g
1911,Xelaev18000255m.g,LOC105948127
1917,Xelaev18000256m.g,LOC100487362.1
1932,Xelaev18000257m.g,LOC101731995.1
1944,Xelaev18000258m.g,LOC100497123.1
1945,Xelaev18000259m.g,Xelaev18000259m.g
1946,Xelaev18000260m.g,Xelaev18000260m.g
1953,Xelaev18000262m.g,loc100036854.L
1964,Xelaev18000263m.g,Xelaev18000263m.g
1965,Xelaev18000264m.g,Xelaev18000264m.g
1967,Xelaev18000265m.g,Xelaev18000265m.g
1969,Xelaev18000266m.g,Xelaev18000266m.g
1972,Xelaev18000267m.g,Xelaev18000267m.g
1973,Xelaev18000268m.g,Xelaev18000268m.g
1975,Xelaev18000269m.g,Xelaev18000269m.g
1977,Xelaev18000270m.g,Xelaev18000270m.g
1978,Xelaev18000272m.g,Xelaev18000272m.g
1982,Xelaev18000273m.g,Xelaev18000273m.g
1985,Xelaev18000274m.g,Xelaev18000274m.g
1987,Xelaev18000275m.g,Xelaev18000275m.g
1993,Xelaev18000276m.g,Xelaev18000276m.g
1994,Xelaev18000277m.g,Xetrov90028731m.1
1999,Xelaev18000278m.g,LOC100494784.S
2003,Xelaev18000279m.g,abhd4.S
2017,Xelaev18000280m.g,dad1.S
2022,Xelaev18000281m.g,Xelaev18000281m.g
2024,Xelaev18000282m.g,trac.S
2033,Xelaev18000283m.g,Xetrov90002516m.S
2035,Xelaev18000284m.g,Xetrov90002517m.S
2037,Xelaev18000285m.g,trac.S
2039,Xelaev18000286m.g,Xelaev18000286m.g
2041,Xelaev18000287m.g,trav.S
2043,Xelaev18000288m.g,Xetrov90002515m.S
2045,Xelaev18000289m.g,Xelaev18000289m.g
2047,Xelaev18000290m.g,Xelaev18000290m.g
2048,Xelaev18000291m.g,Xelaev18000291m.g
2051,Xelaev18000292m.g,Xelaev18000292m.g
2052,Xelaev18000293m.g,Xelaev18000293m.g
2053,Xelaev18000294m.g,Xelaev18000294m.g
2058,Xelaev18000295m.g,Xelaev1800029.1
2060,Xelaev18000296m.g,Xelaev18000296m.g
2061,Xelaev18000297m.g,Xelaev18000297m.g
2063,Xelaev18000298m.g,Xelaev18000298m.g
2065,Xelaev18000299m.g,Xelaev18000299m.g
2067,Xelaev18000300m.g,Xelaev18000300m.g
2069,Xelaev18000301m.g,dixdc1.S
2104,Xelaev18000302m.g,Xelaev18000302m.g
2105,Xelaev18000303m.g,Xelaev18000303m.g
2107,Xelaev18000304m.g,dlat.S
2133,Xelaev18000305m.g,c11orf57.S
2146,Xelaev18000306m.g,Xelaev18000306m.g
2148,Xelaev18000308m.g,Xelaev18000308m.g
2150,Xelaev18000310m.g,Xelaev18000310m.g
2152,Xelaev18000311m.g,Xelaev18000311m.g
2153,Xelaev18000312m.g,Xelaev18000312m.g
2154,Xelaev18000313m.g,Xelaev18000313m.g
2155,Xelaev18000314m.g,Xelaev18000314m.g
2165,Xelaev18000315m.g,Xelaev18000315m.g
2187,Xelaev18000316m.g,Xelaev18000316m.g
2188,Xelaev18000317m.g,Xelaev18000317m.g
2218,Xelaev18000318m.g,Xelaev18000318m.g
2220,Xelaev18000319m.g,Xelaev18000319m.g
2229,Xelaev18000321m.g,Xelaev18000321m.g
2231,Xelaev18000322m.g,loc495835.S
2233,Xelaev18000323m.g,Xelaev18000323m.g
2234,Xelaev18000324m.g,Xelaev18000324m.g
2235,Xelaev18000325m.g,Xelaev18000325m.g
2236,Xelaev18000326m.g,Xelaev18000326m.g
2238,Xelaev18000327m.g,Xelaev18000327m.g
2240,Xelaev18000328m.g,Xelaev18000328m.g
2241,Xelaev18000329m.g,Xelaev18000329m.g
2242,Xelaev18000330m.g,Xelaev18000330m.g
2244,Xelaev18000331m.g,Xelaev18000331m.g
2246,Xelaev18000332m.g,Xelaev18000332m.g
2248,Xelaev18000334m.g,Xelaev18000334m.g
2250,Xelaev18000335m.g,Xelaev18000335m.g
2252,Xelaev18000336m.g,Xelaev18000336m.g
2256,Xelaev18000337m.g,Xelaev18000337m.g
2257,Xelaev18000338m.g,menf.1-like.1.1
2264,Xelaev18000339m.g,Xelaev18000339m.g
2284,Xelaev18000340m.g,g67.L
2322,Xelaev18000341m.g,val.L
2343,Xelaev18000342m.g,Xelaev18000342m.g
2350,Xelaev18000343m.g,Xelaev18000343m.g
2356,Xelaev18000344m.g,Xelaev18000344m.g
2364,Xelaev18000345m.g,Xelaev18000345m.g
2365,Xelaev18000346m.g,Xelaev18000346m.g
2373,Xelaev18000347m.g,Xelaev18000347m.g
2375,Xelaev18000348m.g,Xelaev18000348m.g
2377,Xelaev18000349m.g,Xelaev18000349m.g
2379,Xelaev18000350m.g,slc32a1.L
2384,Xelaev18000351m.g,arhgap40.L
2414,Xelaev18000352m.g,Xelaev18000352m.g
2420,Xelaev18000353m.g,LOC100490096.1
2445,Xelaev18000354m.g,Xelaev18000354m.g
2449,Xelaev18000355m.g,Xelaev18000355m.g
2450,Xelaev18000356m.g,Xelaev18000356m.g
2452,Xelaev18000357m.g,Xelaev18000357m.g
2456,Xelaev18000358m.g,Xelaev18000358m.g
2458,Xelaev18000359m.g,Xetrov90000548m.1
2465,Xelaev18000360m.g,Xelaev18000360m.g
2497,Xelaev18000361m.g,med28.L
2505,Xelaev18000362m.g,Xelaev18000362m.g
2506,Xelaev18000363m.g,Xelaev18000363m.g
2508,Xelaev18000364m.g,LOC100495966
2518,Xelaev18000365m.g,Xelaev18000365m.g
2520,Xelaev18000366m.g,Xelaev18000366m.g
2523,Xelaev18000367m.g,Xelaev18000367m.g
2538,Xelaev18000368m.g,Xelaev18000368m.g
2539,Xelaev18000369m.g,Xelaev18000369m.g
2543,Xelaev18000370m.g,Xelaev18000370m.g
2551,Xelaev18000371m.g,pom.1
2556,Xelaev18000372m.g,plpp7.L
2560,Xelaev18000373m.g,Xelaev18000373m.g
2582,Xelaev18000374m.g,Xelaev18000374m.g
2583,Xelaev18000375m.g,Xelaev18000375m.g
2584,Xelaev18000376m.g,Xelaev18000376m.g
2596,Xelaev18000378m.g,cxorf56.L
2603,Xelaev18000379m.g,Xelaev18000379m.g
2605,Xelaev18000380m.g,Xelaev18000380m.g
2607,Xelaev18000382m.g,c22orf39.L
2613,Xelaev18000383m.g,mrpl40.L
2617,Xelaev18000384m.g,hira.L
2665,Xelaev18000385m.g,Xelaev18000385m.g
2667,Xelaev18000386m.g,Xelaev18000386m.g
2669,Xelaev18000387m.g,Xelaev18000387m.g
2671,Xelaev18000388m.g,Xetrov90026084m.1
2672,Xelaev18000389m.g,Xelaev18000389m.g
2682,Xelaev18000390m.g,Xelaev18000390m.g
2684,Xelaev18000391m.g,Xelaev18000391m.g
2685,Xelaev18000392m.g,Xelaev18000392m.g
2691,Xelaev18000393m.g,Xelaev18000393m.g
2693,Xelaev18000394m.g,serpine3.1
2695,Xelaev18000395m.g,Xelaev18000395m.g
2696,Xelaev18000396m.g,Xelaev18000396m.g
2698,Xelaev18000397m.g,Xelaev18000397m.g
2700,Xelaev18000398m.g,LOC101732831.1
2710,Xelaev18000399m.g,Xelaev18000399m.g
2715,Xelaev18000400m.g,Xelaev18000400m.g
2718,Xelaev18000401m.g,Xelaev18000401m.g
2720,Xelaev18000402m.g,Xelaev18000402m.g
2722,Xelaev18000403m.g,Xelaev18000403m.g
2727,Xelaev18000404m.g,Xelaev18000404m.g
2728,Xelaev18000405m.g,Xelaev18000405m.g
2730,Xelaev18000406m.g,taok1.L
2769,Xelaev18000408m.g,Xelaev18000408m.g
2770,Xelaev18000409m.g,Xelaev18000409m.g
2772,Xelaev18000410m.g,Xelaev18000410m.g
2774,Xelaev18000411m.g,Xelaev18000411m.g
2778,Xelaev18000412m.g,kdelc2
2782,Xelaev18000413m.g,Xetrov90013967m.1
2784,Xelaev18000414m.g,Xelaev18000414m.g
2788,Xelaev18000415m.g,Xelaev18000415m.g
2790,Xelaev18000416m.g,Xelaev18000416m.g
2792,Xelaev18000417m.g,Xelaev18000417m.g
2793,Xelaev18000418m.g,Xelaev18000418m.g
2796,Xelaev18000419m.g,Xelaev18000419m.g
2800,Xelaev18000420m.g,Xelaev18000420m.g
2802,Xelaev18000421m.g,Xelaev18000421m.g
2803,Xelaev18000422m.g,Xelaev18000422m.g
2808,Xelaev18000423m.g,Xelaev18000423m.g
2810,Xelaev18000424m.g,Xelaev18000424m.g
2812,Xelaev18000425m.g,LOC100498228.1
2813,Xelaev18000426m.g,Xelaev18000426m.g
2814,Xelaev18000427m.g,Xelaev18000427m.g
2815,Xelaev18000428m.g,Xelaev18000428m.g
2817,Xelaev18000429m.g,cct5.L
2839,Xelaev18000430m.g,Xelaev18000430m.g
2841,Xelaev18000431m.g,Xelaev18000431m.g
2842,Xelaev18000432m.g,Xelaev18000432m.g
2843,Xelaev18000433m.g,Xelaev18000433m.g
2849,Xelaev18000434m.g,Xelaev18000434m.g
2851,Xelaev18000435m.g,Xelaev18000435m.g
2853,Xelaev18000436m.g,Xelaev18000436m.g
2854,Xelaev18000437m.g,Xelaev18000437m.g
2856,Xelaev18000438m.g,Xetrov90027276m.1
2859,Xelaev18000439m.g,Xelaev18000439m.g
2860,Xelaev18000441m.g,Xelaev18000441m.g
2861,Xelaev18000442m.g,LOC105948534
2863,Xelaev18000443m.g,Xelaev18000443m.g
2865,Xelaev18000444m.g,Xelaev18000444m.g
2867,Xelaev18000445m.g,Xelaev18000445m.g
2868,Xelaev18000446m.g,Xelaev18000446m.g
2870,Xelaev18000447m.g,Xelaev18000447m.g
2874,Xelaev18000448m.g,LOC100487860.1
2886,Xelaev18000449m.g,Xelaev18000449m.g
2890,Xelaev18000450m.g,Xetrov90022720m.1
2892,Xelaev18000451m.g,Xelaev18000451m.g
2893,Xelaev18000452m.g,Xelaev18000452m.g
2895,Xelaev18000454m.g,bcor.S
2920,Xelaev18000455m.g,Xelaev18000455m.g
2921,Xelaev18000456m.g,Xelaev18000456m.g
2923,Xelaev18000457m.g,Xelaev18000457m.g
2924,Xelaev18000458m.g,LOC100216128.1
2936,Xelaev18000459m.g,loc100216128.L
2939,Xelaev18000460m.g,Xelaev18000460m.g
2941,Xelaev18000461m.g,sumo3.L
2943,Xelaev18000462m.g,Xelaev18000462m.g
2945,Xelaev18000463m.g,Xelaev18000463m.g
2948,Xelaev18000464m.g,dnase1.L
2956,Xelaev18000465m.g,alas2.L
2968,Xelaev18000466m.g,Xelaev18000466m.g
2969,Xelaev18000467m.g,Xelaev18000467m.g
2971,Xelaev18000468m.g,LOC100485793
2972,Xelaev18000469m.g,Xelaev18000469m.g
2974,Xelaev18000470m.g,Xelaev18000470m.g
2976,Xelaev18000471m.g,Xelaev18000471m.g
2978,Xelaev18000472m.g,Xelaev18000472m.g
2979,Xelaev18000473m.g,Xelaev18000473m.g
2982,Xelaev18000474m.g,Xelaev18000474m.g
2983,Xelaev18000475m.g,isoc1.S
2993,Xelaev18000476m.g,LOC100487103.1
2998,Xelaev18000477m.g,Xelaev18000477m.g
3002,Xelaev18000478m.g,Xelaev18000478m.g
3004,Xelaev18000479m.g,Xelaev18000479m.g
3014,Xelaev18000480m.g,Xelaev18000480m.g
3015,Xelaev18000481m.g,kcne4.L
3017,Xelaev18000482m.g,Xelaev18000482m.g
3018,Xelaev18000483m.g,Xelaev18000483m.g
3020,Xelaev18000484m.g,Xelaev18000484m.g
3021,Xelaev18000485m.g,Xelaev18000485m.g
3023,Xelaev18000486m.g,igh.S
3025,Xelaev18000487m.g,Xelaev18000487m.g
3028,Xelaev18000489m.g,Xelaev18000489m.g
3029,Xelaev18000490m.g,Xelaev18000490m.g
3031,Xelaev18000491m.g,Xelaev18000491m.g
3032,Xelaev18000492m.g,Xelaev18000492m.g
3034,Xelaev18000493m.g,Xelaev18000493m.g
3036,Xelaev18000494m.g,fam46c.S
3040,Xelaev18000496m.g,gdap2.S
3065,Xelaev18000497m.g,wdr3.S
3118,Xelaev18000498m.g,Xelaev18000498m.g
3123,Xelaev18000499m.g,Xelaev18000499m.g
3125,Xelaev18000500m.g,asf1a.S
3133,Xelaev18000501m.g,Xelaev18000501m.g
3143,Xelaev18000502m.g,LOC100493862-like.1
3159,Xelaev18000503m.g,Xelaev18000503m.g
3160,Xelaev18000504m.g,Xetrov90000146m.1
3162,Xelaev18000505m.g,loc100497124.S
3164,Xelaev18000507m.g,fh.L
3178,Xelaev18000508m.g,Xelaev18000508m.g
3180,Xelaev18000509m.g,Xetrov90027439m.1
3186,Xelaev18000510m.g,Xelaev18000510m.g
3194,Xelaev18000511m.g,Xelaev18000511m.g
3195,Xelaev18000513m.g,Xelaev18000513m.g
3196,Xelaev18000514m.g,Xelaev18000514m.g
3197,Xelaev18000515m.g,loc495837.S
3199,Xelaev18000516m.g,Xelaev18000516m.g
3201,Xelaev18000517m.g,Xelaev18000517m.g
3203,Xelaev18000518m.g,Xelaev18000518m.g
3204,Xelaev18000519m.g,Xelaev18000519m.g
3206,Xelaev18000520m.g,Xelaev18000520m.g
3208,Xelaev18000521m.g,Xelaev18000521m.g
3210,Xelaev18000522m.g,ostc.L
3219,Xelaev18000523m.g,LOC101733627.1
3227,Xelaev18000525m.g,Xelaev18000525m.g
3228,Xelaev18000526m.g,Xelaev18000526m.g
3234,Xelaev18000527m.g,Xelaev18000527m.g
3235,Xelaev18000528m.g,Xelaev18000528m.g
3237,Xelaev18000530m.g,Xelaev18000530m.g
3238,Xelaev18000531m.g,Xelaev18000531m.g
3239,Xelaev18000533m.g,Xelaev18000533m.g
3240,Xelaev18000534m.g,Xelaev18000534m.g
3241,Xelaev18000535m.g,Xelaev18000535m.g
3245,Xelaev18000536m.g,Xelaev18000536m.g
3246,Xelaev18000537m.g,Xelaev18000537m.g
3253,Xelaev18000538m.g,Xelaev18000538m.g
3255,Xelaev18000539m.g,Xelaev18000539m.g
3257,Xelaev18000540m.g,Xelaev18000540m.g
3265,Xelaev18000543m.g,Xelaev18000543m.g
3269,Xelaev18000545m.g,Xelaev18000545m.g
3271,Xelaev18000546m.g,Xelaev18000546m.g
3275,Xelaev18000547m.g,Xelaev18000547m.g
3278,Xelaev18000548m.g,Xelaev18000548m.g
3281,Xelaev18000549m.g,Xelaev18000549m.g
3283,Xelaev18000550m.g,LOC101733219.S
3285,Xelaev18000551m.g,Xelaev18000551m.g
3286,Xelaev18000553m.g,Xelaev18000553m.g
3291,Xelaev18000554m.g,Xelaev18000554m.g
3293,Xelaev18000555m.g,Xelaev18000555m.g
3297,Xelaev18000556m.g,Xelaev18000556m.g
3298,Xelaev18000557m.g,Xelaev18000557m.g
3299,Xelaev18000560m.g,LOC101732543.S
3307,Xelaev18000561m.g,Xelaev18000561m.g
3309,Xelaev18000562m.g,vdac2.S
3326,Xelaev18000563m.g,samd8.S
3337,Xelaev18000564m.g,Xelaev18000564m.g
3339,Xelaev18000565m.g,dusp13.S
3345,Xelaev18000566m.g,Xelaev18000566m.g
3347,Xelaev18000567m.g,Xelaev18000567m.g
3348,Xelaev18000568m.g,Xetrov90018319m.S
3353,Xelaev18000569m.g,Xetrov90018320m.S
3355,Xelaev18000570m.g,dupd1.S
3362,Xelaev18000571m.g,Xelaev18000571m.g
3363,Xelaev18000572m.g,adk.S
3385,Xelaev18000573m.g,vcl.S
3427,Xelaev18000575m.g,chuk.S
3469,Xelaev18000576m.g,Xelaev18000576m.g
3470,Xelaev18000577m.g,Xelaev18000577m.g
3472,Xelaev18000578m.g,anxa11.S
3501,Xelaev18000579m.g,plac9.S
3509,Xelaev18000581m.g,loc100497030.S
3533,Xelaev18000582m.g,Xetrov90016201m.S
3539,Xelaev18000583m.g,fam213a.1.S
3547,Xelaev18000584m.g,Xelaev18000584m.g
3548,Xelaev18000585m.g,LOC100497345.S
3549,Xelaev18000586m.g,LOC100497505-like.S
