,gene_id,gene_name
283385,Xelaev18023071m.g,akr1a1.L
283402,Xelaev18023072m.g,prdx1.L
283413,Xelaev18023073m.g,mmachc.L
283421,Xelaev18023074m.g,LOC100492755-like.L
283444,Xelaev18023075m.g,LOC100492579.L
283456,Xelaev18023076m.g,hectd3.L
283499,Xelaev18023077m.g,urod.L
283519,Xelaev18023078m.g,zswim5.L
283549,Xelaev18023079m.g,Xelaev18023079m.g
283551,Xelaev18023080m.g,sepp1-like.L
283559,Xelaev18023081m.g,mutyh.L
283589,Xelaev18023082m.g,toe1.L
283604,Xelaev18023083m.g,tesk2.L
283625,Xelaev18023084m.g,eif2b3.L
283648,Xelaev18023085m.g,ptch2.L
283695,Xelaev18023086m.g,btbd19.L
283711,Xelaev18023087m.g,plk3.L
283741,Xelaev18023088m.g,LOC101732938.L
283746,Xelaev18023089m.g,best4.L
283762,Xelaev18023090m.g,rps8.L
283772,Xelaev18023091m.g,kif2c.L
283816,Xelaev18023092m.g,c1orf228.L
283839,Xelaev18023093m.g,Xelaev18023093m.g
283841,Xelaev18023094m.g,tmem53.L
283847,Xelaev18023095m.g,rnf220.1.L
283880,Xelaev18023096m.g,Xelaev18023096m.g
283882,Xelaev18023097m.g,eri3.L
283890,Xelaev18023098m.g,Xelaev18023098m.g
283892,Xelaev18023099m.g,Xelaev18023099m.g
283894,Xelaev18023100m.g,Xelaev18023100m.g
283896,Xelaev18023101m.g,Xelaev18023101m.g
283898,Xelaev18023102m.g,dmap1.L
283919,Xelaev18023103m.g,Xelaev18023103m.g
283925,Xelaev18023104m.g,Xetrov90012649m.L
283929,Xelaev18023105m.g,slc6a9.L
283956,Xelaev18023107m.g,Xelaev18023107m.g
283958,Xelaev18023108m.g,ccdc24.L
283975,Xelaev18023109m.g,vwc2l.2.L
283981,Xelaev18023110m.g,b4galt2.L
283993,Xelaev18023111m.g,Xelaev18023111m.g
283995,Xelaev18023112m.g,Xelaev18023112m.g
283997,Xelaev18023113m.g,atp6v0b.L
284013,Xelaev18023114m.g,izumo1r.L
284025,Xelaev18023115m.g,mast2.L
284085,Xelaev18023116m.g,pik3r3.L
284105,Xelaev18023117m.g,Xelaev18023117m.g
284107,Xelaev18023118m.g,tspan1.L
284122,Xelaev18023119m.g,pomgnt1.L
284164,Xelaev18023120m.g,lurap1.L
284168,Xelaev18023121m.g,Xelaev18023121m.g
284170,Xelaev18023122m.g,Xelaev18023122m.g
284171,Xelaev18023123m.g,lrrc41.L
284191,Xelaev18023124m.g,uqcrh.L
284199,Xelaev18023125m.g,nsun4.L
284211,Xelaev18023126m.g,faah.3.L
284241,Xelaev18023127m.g,dmbx1.L
284250,Xelaev18023128m.g,kncn.L
284256,Xelaev18023129m.g,mknk1.L
284282,Xelaev18023130m.g,mob3c.L
284289,Xelaev18023131m.g,ccnb1.2.L
284307,Xelaev18023132m.g,efcab14.L
284327,Xelaev18023133m.g,Xelaev18023133m.g
284351,Xelaev18023134m.g,cyp4b1.L
284375,Xelaev18023135m.g,cyp4b1.2.L
284399,Xelaev18023136m.g,loc100487918.L
284425,Xelaev18023137m.g,loc100488227.L
284451,Xelaev18023138m.g,Xetrov90011866m.L
284460,Xelaev18023139m.g,loc100488386.L
284484,Xelaev18023140m.g,pdzk1ip1.L
284496,Xelaev18023141m.g,tal1.L
284503,Xelaev18023142m.g,stil.L
284536,Xelaev18023143m.g,cmpk1.L
284548,Xelaev18023144m.g,foxe3.L
284550,Xelaev18023145m.g,foxd2.L
284552,Xelaev18023146m.g,trabd2b.L
284568,Xelaev18023147m.g,slc5a9.L
284598,Xelaev18023148m.g,spata6-like.L
284616,Xelaev18023149m.g,agbl4.L
284622,Xelaev18023150m.g,Xelaev18023150m.g
284623,Xelaev18023151m.g,Xelaev18023151m.g
284631,Xelaev18023152m.g,Xelaev18023152m.g
284634,Xelaev18023153m.g,bend5.L
284640,Xelaev18023154m.g,Xetrov90011882m.L
284642,Xelaev18023155m.g,Xelaev18023155m.g
284644,Xelaev18023157m.g,elavl4.L
284660,Xelaev18023162m.g,dmrta2.L
284664,Xelaev18023163m.g,faf1.L
284702,Xelaev18023164m.g,cdkn2c.L
284706,Xelaev18023165m.g,rnf11.L
284712,Xelaev18023166m.g,ttc39a.L
